7.989914345620198401e-05,2.209746263575956479e-04,1.269408841363350816e-04,2.025633711806748246e-04,1.893936989470492438e-01,3.180901038543170745e-01,4.709652431806600204e-01,7.144798151998267288e-01,7.691182431338074998e-01,3.694626805496256661e-01
1.091753641841630755e-04,2.241446202538659963e-04,1.469229431586254321e-04,5.262231172676372576e-04,2.320161601720704958e-01,4.240798895226293164e-01,4.710351984847852558e-01,7.479889068552383335e-01,7.693118558303229104e-01,8.519762703391763337e-01
1.488558588386466408e-04,2.462059840747638341e-04,1.560224890548947982e-04,5.338569975322124102e-04,2.154703946619722643e-01,4.204413410543025309e-01,4.714897310694220467e-01,7.478630436554579708e-01,8.242230044476116513e-01,-8.767783186251929539e-01
2.013731454511719923e-04,4.755603905387043831e-04,2.294657733234647121e-04,4.681365646109919305e-04,1.955122458322480217e-01,4.166424854326120641e-01,5.966737452900955363e-01,7.478640613866991416e-01,8.533202229348627599e-01,-9.167064403696512098e-01
2.699757130710096721e-04,3.546911505980212187e-04,4.837901403421869832e-04,1.525675935009017630e-06,1.704581815778059561e-01,4.124877514503029197e-01,6.538203077448571099e-01,7.479332240306858504e-01,8.686427083972196872e-01,9.193641532027259089e-01
3.616032888955338521e-04,4.537965441151152316e-04,7.196549212288279405e-04,1.161229943771669070e-16,1.379544805565571797e-01,4.081264066740217800e-01,6.813873402380161703e-01,7.480343452500148871e-01,8.679099820784599295e-01,9.183252003324406942e-01
2.876960420248549956e-04,5.817184056239860625e-04,6.865681227007825272e-32,9.108284992553123229e-17,1.105108658247073578e-01,4.032498700266373692e-01,6.810181169735523010e-01,7.483750077820630064e-01,8.826704837257037806e-01,9.172426201790654376e-01
3.871420636287691789e-04,7.588709961056383253e-04,6.922464617658132891e-04,8.570569433380807473e-04,6.085210178469717401e-02,3.983944696351163217e-01,7.129785840907307826e-01,7.489255964689831568e-01,8.986016538094433459e-01,9.161833546886182233e-01
5.244351843591416300e-04,6.088808698427546941e-04,8.205650540251505521e-04,2.339257800753838639e-03,2.260873596507994090e-02,3.935221429821468275e-01,7.121511737425466615e-01,8.152571202044558429e-01,8.970962385613567847e-01,9.150251797639128437e-01
4.415647383608274244e-04,7.595643391224153780e-04,7.887865656326827069e-04,1.212361432286706772e-03,1.057166469245556482e-03,3.885805249924996763e-01,7.115951411487472233e-01,8.399658375011758160e-01,8.958169647584062201e-01,9.138353420814799843e-01
